file,condition,title,post_type,custom_class,columns,posts_per_page,show_total,orderby,order,pagination,meta_key,meta_value,selected_posts,display_blank,exclude_self,taxonomy,term,subtitle,link_out
archive-fellows.php,?territory or ?region (fellows found),Fellows from {territory/region},fellows,,5,100,true,title,asc,true,,,{fellow IDs},false,false,,,,,
archive-fellows.php,?territory or ?region (no fellows),Fellows from {territory/region},fellows,,5,100,true,title,asc,true,,,-1,true,false,,,,,
archive-fellows.php,no filter,Fellows,fellows,,5,100,true,title,asc,true,,,,false,false,,,,/revitalization/fellows
archive-languages.php,?territory,Languages of {territory},languages,,5,100,true,title,asc,true,,,{language IDs},true,false,,,,"Wikitongues crowd-sources video samples of every language in the world.",
archive-languages.php,?genealogy,{genealogy} linguistic family,languages,,5,100,true,title,asc,true,,,,true,false,,linguistic-genealogy,{slug},"Wikitongues crowd-sources video samples of every language in the world.",
archive-languages.php,?writing_system,Languages written in {system} / Unwritten languages,languages,,5,100,true,title,asc,true,,,,true,false,,writing-system,{slug},"Wikitongues crowd-sources video samples of every language in the world.",
archive-languages.php,no filter,Languages,languages,,5,100,true,title,asc,true,,,,false,false,,,,"Wikitongues crowd-sources video samples of every language in the world.",
archive-videos.php,?language,{language} videos,videos,,5,100,true,date,desc,true,featured_languages,{language ID},,true,false,,,,"Wikitongues crowd-sources video samples of every language in the world.",
archive-videos.php,no filter,Videos,videos,,5,100,true,date,desc,true,,,,false,false,,,,"Wikitongues crowd-sources video samples of every language in the world.",
archive-territories.php,?region,Territories of {region},territories,,5,100,true,title,asc,true,,,,true,false,,region,{slug},,
archive-territories.php,no filter,Territories,territories,,5,100,true,title,asc,true,,,,false,false,,,,
single-territories.php,if fellows linked,Fellows from {territory},fellows,,3,3,true,title,asc,true,,,{fellow IDs},false,false,,,,,{/fellows?territory=slug}
single-territories.php,always,Languages of {territory},languages,,3,6,true,{language IDs},asc,true,,,{language IDs},true,false,,,,"Wikitongues crowd-sources video samples of every language in the world.",{/languages?territory=slug}
single-languages.php,if territories linked,Other languages from {territories},languages,full,5,5,true,rand,asc,true,,,{language IDs},false,true,,,,,{/languages?territory=slug or ''}
single-videos.php,always,Other videos of {languages},videos,full,5,5,false,rand,asc,false,featured_languages,{language IDs},,false,true,,,,,
single-fellows.php,always,,fellows,full,4,4,false,rand,,false,fellow_year,{year},,false,true,,,,,
taxonomy-region.php,if fellows linked,Fellows from {region},fellows,,3,3,true,title,asc,true,,,{fellow IDs},false,false,,,,,{/fellows?region=slug}
taxonomy-region.php,always,Territories in {region},territories,,3,9,true,title,asc,true,,,{territory IDs (continent) or ''},true,false,,{region or ''},{slug or ''},{/territories?region=slug}
taxonomy-fellow-category.php,always,,fellows,full,4,50,false,year,desc,true,,,,true,false,,fellow-category,{slug},,
template-revitalization-fellows.php,always,,fellows,full,4,60,false,rand,,true,fellow_year,{year or cohorts[0]},,false,true,,,,,
template-about-staff.php,always,Explore careers,careers,,1,3,true,rand,asc,false,,,,false,true,,career_type,Staff,,
template-about-staff.php,always,Explore other opportunities,careers,,1,3,true,rand,asc,false,,,,false,true,,career_type,"Intern,Volunteer",,
modules/languages/single-languages__videos.php,always,{language} videos,videos,,3,6,true,date,asc,true,featured_languages,{language ID},,true,true,,,,"Wikitongues crowd-sources video samples of every language in the world.",{/videos?language=slug}
modules/languages/single-languages__fellows.php,if fellows linked,{language} Revitalization Projects,fellows,display,1,1,false,date,asc,true,fellow_language,{language ID},,false,true,,,,The Wikitongues Fellowship is an accelerator program where activists can learn from a network of revitalization projects.,
modules/languages/single-languages__lexicons.php,always,{language} to other languages,lexicons,,3,6,false,date,asc,true,source_languages,{language ID},,true,true,,,,,
modules/languages/single-languages__lexicons.php,always,Other languages to {language},lexicons,,3,6,false,date,asc,true,target_languages,{language ID},,true,true,,,,,
modules/languages/single-languages__resources.php,always,{language} external resources,resources,,3,6,false,date,asc,true,resource_language,{language ID},,true,true,,,,Wikitongues indexes language resources from across the internet.,
template-giving-campaign-24.php,always,{ACF sub-field},fellows,"custom fundraiser",1,5,false,rand,asc,false,,,{selected IDs},false,true,,,,,
modules/flexible-content/gallery-layout.php,per row (loop),{ACF sub-field},{ACF sub-field},full,{ACF sub-field},{ACF sub-field},false,rand,asc,{ACF sub-field},,,{selected IDs},false,true,,,,,
